"Carte","Longitude (I)","Latitude (I)"
"3074_TOPO_10",3.5180,46.6182
"3076_TOPO_1",3.4301,46.6038
"3076_TOPO_2",3.4528,46.6127
"3076_TOPO_3",3.4835,46.6112
"3076_TOPO_7",3.4638,46.6048
"3076_TOPO_8",3.4594,46.6223
"3076_TOPO_9",3.4948,46.6201
"3121_TOPO_2",3.3934,46.6097
"3121_TOPO_3",3.4199,46.6171
"3321_TOPO_0",3.3662,46.6018
"7005_TOPO_3",4.6339,44.5551
"7020_TOPO_0",4.6389,44.5707
"7020_TOPO_5",4.6486,44.5836
"61210_TOPO_7",-0.1183,48.6981
"61210_TOPO_8",-0.1164,48.6839
"61236_TOPO_1",-0.1057,48.6851
"61236_TOPO_2",-0.1088,48.6914
"61236_TOPO_3",-0.1098,48.6973
"61236_TOPO_11",-0.1011,48.6961
"61467_TOPO_2",0.1414,48.4859
"61497_TOPO_0",0.1425,48.4472
"63054_TOPO_1",3.2353,45.5115
"63282_TOPO_0",3.1769,45.6181
"63352_TOPO_0",3.2626,45.4388
"63404_TOPO_0",3.2044,45.5683
"63413_TOPO_1",3.1583,45.6530
"63432_TOPO_0",3.2616,45.9766
"63456_TOPO_0",3.2622,45.4247
"72019_TOPO_0",-0.2703,47.9359
"72089_TOPO_4",-0.0308,48.1039
"72089_TOPO_9",-0.0078,48.1366
"72192_TOPO_0",0.2359,48.3235
"72216_TOPO_0",-0.0419,48.1558
"72216_TOPO_7",0.0116,48.1528
"72216_TOPO_8",-0.0243,48.1425
"72219_TOPO_0",-0.0330,48.0737
"72228_TOPO_1",-0.2246,47.7996
"72228_TOPO_4",-0.2110,47.8324
"72234_TOPO_2",-0.0256,48.1881
"72254_TOPO_0",0.1814,48.3253
"72254_TOPO_4",0.1668,48.3118
"72261_TOPO_1",-0.1072,48.0544
"72326_TOPO_0",0.2650,48.3168
"72355_TOPO_3",0.2127,48.3208
"72370_TOPO_10",-0.0069,48.1742
"72378_TOPO_2",-0.2596,47.8057
"77230_TOPO_1",2.5294,48.2102
"79303_TOPO_0",-0.1075,46.4000
"81016_TOPO_0",2.2072,43.4058
"81163_TOPO_0",2.3690,43.4252
"85020_TOPO_0",4.7577,44.6980
"7022_TOPO_1",4.7554,44.6872
"7076_TOPO_0",4.7397,44.6564
"7076_TOPO_1",4.7523,44.6720
"7157_TOPO_1",4.6892,44.6134
"7157_TOPO_6",4.6577,44.6084
"7191_TOPO_2",4.6697,44.6001
"7191_TOPO_4",4.6614,44.5772
"7194_TOPO_0",4.5907,44.6873
"7298_TOPO_2",4.7133,44.7314
"7298_TOPO_3",4.7133,44.7314
"7298_TOPO_4",4.7141,44.7248
"7302_TOPO_0",4.7064,44.6366
"7302_TOPO_1",4.7267,44.6462
"7319_TOPO_0",4.6745,44.5222
"7319_TOPO_1",4.6325,44.5435
"11008_TOPO_0",2.2527,42.9801
"11010_TOPO_0",2.2344,42.9694
"11180_TOPO_0",2.4229,43.3882
"11243_TOPO_0",1.8252,43.3895
"12307_TOPO_0",2.8719,44.1840
"12307_TOPO_1",2.9147,44.1814
"12307_TOPO_2",2.8605,44.2305
"16150_TOPO_0",-0.2655,45.6359
"18043_TOPO_0",2.1439,46.7700
"26097_TOPO_2",4.8527,44.7167
"26097_TOPO_3",4.8435,44.7252
"26097_TOPO_5",4.8582,44.7270
"26102_TOPO_3",4.8249,44.6463
"26102_TOPO_4",4.8131,44.6260
"26144_TOPO_1",4.8893,44.7032
"26144_TOPO_2",4.8975,44.6960
"26157_TOPO_1",4.8438,44.6400
"26166_TOPO_1",4.8478,44.7345
"26176_TOPO_0",4.8902,44.6709
"26176_TOPO_2",4.8533,44.6526
"26185_TOPO_0",4.8331,44.6735
"26185_TOPO_4",4.8631,44.6901
"26277_TOPO_0",4.9175,44.6767
"26312_TOPO_5",4.8013,44.6103
"26339_TOPO_6",4.7807,44.6229
"29163_TOPO_2",-3.8921,48.5263
"29202_TOPO_0",-3.8572,48.4448
"29202_TOPO_5",-3.8582,48.4562
"29202_TOPO_6",-3.8425,48.4620
"35084_TOPO_0",-2.0817,47.8892
"36150_TOPO_0",1.4852,46.4234
"36153_TOPO_0",1.1331,46.8960
"43018_TOPO_1",3.7871,45.0225
"43018_TOPO_2",3.7871,45.0225
"43019_TOPO_0",3.8756,44.8237
"43019_TOPO_1",3.8761,44.8397
"43039_TOPO_1",3.8465,44.9084
"43039_TOPO_3",3.8380,44.9459
"43042_TOPO_0",3.8253,44.9381
"43111_TOPO_0",3.8596,44.8788
"43135_TOPO_0",4.0313,44.9395
"43174_TOPO_2",3.8223,44.9607
"43215_TOPO_0",3.8906,44.8100
"43233_TOPO_1",3.7852,45.0359
"44153_TOPO_3",-1.5000,47.6762
"48127_TOPO_0",3.5046,44.6008
"49144_TOPO_1",-1.1290,47.5665
"53113_TOPO_0",-0.4145,48.2716
"54118_TOPO_0",5.4864,49.4749
"54576_TOPO_0",5.4657,49.4674
"55123_TOPO_0",5.1669,48.8759
"55123_TOPO_1",5.1658,48.8873
"56125_TOPO_0",-3.0877,48.0620
"56125_TOPO_1",-3.0602,48.0658
"56125_TOPO_2",-3.0707,48.0866
"57620_TOPO_0",5.9992,49.1829
"61020_TOPO_0",-0.1026,48.6620
"61020_TOPO_4",-0.0905,48.6659
"61020_TOPO_5",-0.0979,48.6812
"61020_TOPO_6",-0.1186,48.6538
"61020_TOPO_9",-0.1114,48.6815
"61020_TOPO_10",-0.0988,48.6648
"61175_TOPO_1",0.1285,48.4937
"61210_TOPO_6",-0.1180,48.6864
