ID;Puissancenominalunitaire;Emailcontact;Puissancenominaletotale;NOM_COMM;NOM_DEPT;NOM_REGION;LongitudeI;LatitudeI;Dnomination;Description;Miseenservice;Typedemachine;Dveloppeur;Oprateur;Commune;Dpartement;Nomcontact;Tlephone
43259;0;;0;GRAND-FOUGERAY;ILLE-ET-VILAINE;BRETAGNE;-1,701737789;47,7162474;;;;;;;;;;
43260;0;;0;ROQUETAILLADE;AUDE;LANGUEDOC-ROUSSILLON;2,227706602;42,99185032;;;;;;;;;;
43261;0;;0;ROQUETAILLADE;AUDE;LANGUEDOC-ROUSSILLON;2,228554247;42,99244033;;;;;;;;;;
43262;0;;0;ROQUETAILLADE;AUDE;LANGUEDOC-ROUSSILLON;2,229202881;42,99316803;;;;;;;;;;
43263;0;;0;ROQUETAILLADE;AUDE;LANGUEDOC-ROUSSILLON;2,229816167;42,99392611;;;;;;;;;;
43264;0;;0;ROQUETAILLADE;AUDE;LANGUEDOC-ROUSSILLON;2,230356269;42,99468835;;;;;;;;;;
43265;0;;0;ROQUETAILLADE;AUDE;LANGUEDOC-ROUSSILLON;2,230808105;42,99547371;;;;;;;;;;
43266;0;;0;ROQUETAILLADE;AUDE;LANGUEDOC-ROUSSILLON;2,231177152;42,99630248;;;;;;;;;;
43267;0;;0;ROQUETAILLADE;AUDE;LANGUEDOC-ROUSSILLON;2,23153093;42,99711258;;;;;;;;;;
43268;0;;0;ROQUETAILLADE;AUDE;LANGUEDOC-ROUSSILLON;2,231884355;42,99793919;;;;;;;;;;
43269;0;;0;ROQUETAILLADE;AUDE;LANGUEDOC-ROUSSILLON;2,232242043;42,99878012;;;;;;;;;;
43270;0;;0;ROQUETAILLADE;AUDE;LANGUEDOC-ROUSSILLON;2,232597054;42,99959087;;;;;;;;;;
43271;0;;0;ROQUETAILLADE;AUDE;LANGUEDOC-ROUSSILLON;2,232956532;43,00041464;;;;;;;;;;
43272;0;;0;ROQUETAILLADE;AUDE;LANGUEDOC-ROUSSILLON;2,233239465;43,00160834;;;;;;;;;;
43273;0;;0;ROQUETAILLADE;AUDE;LANGUEDOC-ROUSSILLON;2,233252445;43,00232468;;;;;;;;;;
43274;0;;0;ROQUETAILLADE;AUDE;LANGUEDOC-ROUSSILLON;2,233260094;43,00309001;;;;;;;;;;
43275;0;;0;ROQUETAILLADE;AUDE;LANGUEDOC-ROUSSILLON;2,233271787;43,00384599;;;;;;;;;;
