"Commune_insee","Horaires d'ouverture de la mairie"
"70080","Le vendredi : |13:30 - 16:30| et le mercredi : |14:00 - 16:00|"
"70268","Le lundi : |16:30 - 18:30|"
"70064","Le mercredi : |08:00 - 12:00| et le vendredi : |13:30 - 17:30|"
"70053","Le lundi : |08:30 - 12:00|"
"70575","Le jeudi : |09:00 - 12:00|14:00 - 18:30| et le lundi : |09:00 - 12:00|14:00 - 18:30| et le samedi : |10:00 - 12:00|"
"70430","Le mercredi : |13:30 - 17:30|"
"70222","Le mardi : |16:15 - 17:45| et le vendredi : |09:00 - 12:00|"
"70166","Le mardi : |13:30 - 18:30| et le jeudi : |08:00 - 12:00|"
"70100","Le lundi : |13:30 - 17:30|"
"70282","Du lundi au vendredi : |08:15 - 12:00| et le samedi : |08:30 - 11:30|"
"70074","Le vendredi : |10:00 - 12:30| et le mardi : |16:00 - 19:00|"
"70089","Le mardi : |09:00 - 12:00|"
"70164","Le jeudi : |10:30 - 11:30|"
"70423","Le lundi : |08:30 - 11:30|"
"70250","Le mardi : |13:30 - 17:30| et le vendredi : |08:00 - 12:00|13:30 - 18:00|"
"70208","Le lundi : |14:00 - 19:00| et le jeudi : |08:00 - 12:00| et le vendredi : |08:30 - 12:00|14:00 - 19:00|"
"70020","Le lundi : |11:45 - 16:45| et le jeudi : |08:00 - 12:30|"
"80752","Le mercredi : |17:30 - 19:00|"
"70101","Du lundi au vendredi : |09:00 - 12:00|"
"70459","Du lundi au mardi : |09:00 - 12:00|14:00 - 17:00| et le mercredi : |09:00 - 12:00| et le jeudi : |09:00 - 12:00|14:00 - 17:00| et le vendredi : |09:00 - 12:00|14:00 - 18:00|"
"70214","Le mardi : |08:30 - 12:00| et le jeudi : |13:30 - 18:00|"
"70002","Le lundi : |13:00 - 17:30| et le mercredi : |08:30 - 12:00|"
"70206","Du lundi au mardi : |10:00 - 12:00| et le mercredi : |15:00 - 18:00| et le jeudi : |14:00 - 16:00|"
"70156","Le mardi : |08:00 - 12:00|"
"70194","Le lundi : |16:00 - 18:00| et le samedi : |09:00 - 11:00|"
"70359","Le jeudi : |14:00 - 16:00|"
"70149","Le mardi : |09:00 - 12:00| et le vendredi : |14:00 - 17:00| et le samedi : |09:00 - 11:00|"
"70186","Le mardi : |08:30 - 11:30|"
"80505","Le mardi : |17:30 - 18:30| et le vendredi : |11:00 - 12:00|"
"70406","Le mardi : |15:00 - 18:00|"
"70160","Le mardi : |11:00 - 12:00|13:00 - 14:00| et le mercredi : |16:30 - 18:00| et le vendredi : |11:00 - 12:00|"
