Région siège,Département siège,Arrondissement siège,Commune siège,N° SIREN,Nom du groupement,Nature juridique,Syndicat à la carte,Groupement interdépartemental,Date de création,Date d'effet,Mode de répartition des sièges,Autre mode de répartition des sièges,Nombre de membres,Population,Nombre de compétences exercées,Mode de financement,DGF Bonifiée,DSC,REOM,Autre redevance,TEOM,Autre taxe,Civilité Président,Prénom Président,Nom Président,Adresse du siège_1,Adresse du siège_2,Adresse du siège_3,Code postal du siège - Ville du siège,Téléphone du siège,Fax du siège,Courriel du siège,Site internet,Adresse annexe_1,Adresse annexe_2,Adresse annexe_3,Code postal annexe - Ville annexe,Téléphone annexe,Fax annexe
84 - Auvergne-Rhône-Alpes,01 - Ain,4 - Nantua,210102836 - Oyonnax,200042935,Haut - Bugey Agglomération,CA,0,0,01/01/2014,01/01/2014,RDC,,42,64922,39,FPU,0,0,0,,0,,M.,Jean,DEGUERRY,57 rue René Nicod,,,01100 OYONNAX,04 74 81 23 70,04 74 81 23 80,contact@hautbugey-agglomeration.fr,,,,, ,    ,04 74 81 23 80
84 - Auvergne-Rhône-Alpes,01 - Ain,2 - Bourg-en-Bresse,210100533 - Bourg-en-Bresse,200071751,CA du Bassin de Bourg-en-Bresse,CA,0,0,16/12/2016,01/01/2017,RDC,,74,136576,45,FPU,0,0,1,,1,,M.,Jean-François,DEBAT,3 avenue Arsène d'Arsonval,Cenord,BP 8000,01008 BOURG - EN - BRESSE CÉDEX,04 74 24 75 15,04 74 24 75 13,,,,,, ,    ,    
84 - Auvergne-Rhône-Alpes,01 - Ain,3 - Gex,210101739 - Gex,240100750,CA du Pays de Gex,CA,0,0,31/05/1995,31/05/1995,RDC,,27,98753,40,FPU,0,0,0, ,0, ,M.,Patrice,DUNAND,"135, rue de Genève",,,01170 Gex,04 50 42 65 00,04 50 42 65 01,info@ccpg.fr,www.cc-pays-de-gex.fr,,,, ,    ,04 50 42 65 01
84 - Auvergne-Rhône-Alpes,01 - Ain,4 - Nantua,210101994 - Jujurieux,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,0,0,25/11/2011,01/01/2012,ACCOR,,14,14935,20,FPU,0,0,0, ,0, ,M.,Thierry,DUPUIS,hôtel de ville,place de l'hôtel de ville,BP 15,01640 JUJURIEUX,04 74 37 13 32,    ,accueil@ain-cerdon.fr,,,,, ,    ,    
84 - Auvergne-Rhône-Alpes,01 - Ain,1 - Belley,210100343 - Belley,200040350,CC Bugey Sud,CC,0,0,01/01/2014,01/01/2014,RDC,,43,34921,22,FPU,0,0,0,,1,,Mme,Pauline,GODET,34 Grande rue,,,01300 BELLEY,04 79 81 41 05,04 79 81 41 02,accueil@ccbugeysud.com,,,,, ,    ,04 79 81 41 02
84 - Auvergne-Rhône-Alpes,01 - Ain,2 - Bourg-en-Bresse,210104279 - Trévoux,200042497,CC Dombes Saône Vallée,CC,0,0,01/01/2014,01/01/2014,ACCOR,,19,39678,30,FPU,0,0,0,,0,,M.,Marc,PECHOUX,627 route de Jassans,BP 231,,01602 Trévoux,04 74 08 97 66,04 74 08 97 67,ccdsv@saone-vallee.fr,,,,, ,    ,04 74 08 97 67
84 - Auvergne-Rhône-Alpes,01 - Ain,2 - Bourg-en-Bresse,210100939 - Châtillon-sur-Chalaronne,200069193,CC de la Dombes,CC,0,0,01/12/2016,01/01/2017,RDC,,36,40014,23,FPU,0,0,0,,0,,Mme,Isabelle,DUBOIS,100 Avenue Foch,,,01400 Châtillon-sur-Chalaronne,    ,    ,contact@ccdombes.fr,www.ccdombes.fr,,,, ,04 74 55 30 62,04 74 55 16 75
84 - Auvergne-Rhône-Alpes,01 - Ain,2 - Bourg-en-Bresse,210102588 - Montceaux,200070118,CC Val de Saône Centre,CC,0,0,06/12/2016,01/01/2017,ACCOR,,15,21018,27,FPU,0,0,0,,0,,M.,Jean-Claude,DESCHIZEAUX,Parc Visiosports,Le Grand Rivollet,166 route de Francheleins,01090 MONTCEAUX,04 74 06 46 26,04 74 06 46 20,accueil@ccvsc01.org,,,,, ,    ,04 74 06 46 20
84 - Auvergne-Rhône-Alpes,01 - Ain,2 - Bourg-en-Bresse,210103065 - Pont-de-Veyle,200070555,CC de la Veyle,CC,0,0,08/12/2016,01/01/2017,RDC,,18,23171,26,FPU,0,0,0,,0,,M.,Christophe,GREFFET,10 rue de la Poste,,,01290 PONT - DE - VEYLE,03 85 23 90 15,03 85 36 22 12,,,,,, ,    ,    
84 - Auvergne-Rhône-Alpes,01 - Ain,2 - Bourg-en-Bresse,210100269 - Bâgé-le-Châtel,200071371,CC Bresse et Saône,CC,0,0,15/12/2016,01/01/2017,ACCOR,,20,25858,24,FPU,0,0,0,,0,,M.,Guy,BILLOUDET,50 chemin de la Glaine,,,01380 Bâgé-le-Châtel,    ,    ,,,,,, ,    ,    
