"Commune_insee","Relief"
"70088","Bas plateaux-colines"
"70095","Bas plateaux-colines"
"70101","Bas plateaux-colines"
"70111","Bas plateaux-colines"
"70116","Bas plateaux-colines"
"70122","Bas plateaux-colines"
"70124","Bas plateaux-colines"
"70128","Bas plateaux-colines"
"70135","Bas plateaux-colines"
"70137","Bas plateaux-colines"
"70140","Bas plateaux-colines"
"70144","Bas plateaux-colines"
"70145","Bas plateaux-colines"
"70146","Bas plateaux-colines"
"70154","Bas plateaux-colines"
"70159","Bas plateaux-colines"
"70160","Bas plateaux-colines"
"70166","Bas plateaux-colines"
"70167","Bas plateaux-colines"
"70168","Bas plateaux-colines"
"70170","Bas plateaux-colines"
"70186","Bas plateaux-colines"
"70194","Bas plateaux-colines"
"70196","Bas plateaux-colines"
"70203","Bas plateaux-colines"
"70204","Bas plateaux-colines"
"70207","Bas plateaux-colines"
"70236","Bas plateaux-colines"
"70237","Bas plateaux-colines"
"70239","Bas plateaux-colines"
"70247","Bas plateaux-colines"
"70251","Bas plateaux-colines"
"70255","Bas plateaux-colines"
"70256","Hauts plateaux"
"70257","Bas plateaux-colines"
"70261","Bas plateaux-colines"
"70264","Bas plateaux-colines"
"70267","Bas plateaux-colines"
"70273","Bas plateaux-colines"
"70274","Bas plateaux-colines"
"70277","Bas plateaux-colines"
"70278","Bas plateaux-colines"
"70283","Hauts plateaux"
"70287","Bas plateaux-colines"
"70290","Bas plateaux-colines"
"70294","Bas plateaux-colines"
"70304","Bas plateaux-colines"
"70310","Bas plateaux-colines"
"70319","Bas plateaux-colines"
"70325","Bas plateaux-colines"
"70330","Bas plateaux-colines"
"70334","Bas plateaux-colines"
"70342","Bas plateaux-colines"
"70352","Hauts plateaux"
"70359","Bas plateaux-colines"
"70363","Bas plateaux-colines"
"70374","Bas plateaux-colines"
"70384","Bas plateaux-colines"
"70387","Bas plateaux-colines"
"70390","Bas plateaux-colines"
"70392","Bas plateaux-colines"
"70406","Bas plateaux-colines"
"70416","Bas plateaux-colines"
"70417","Bas plateaux-colines"
"70418","Bas plateaux-colines"
"70419","Bas plateaux-colines"
"70422","Bas plateaux-colines"
"70428","Bas plateaux-colines"
"70439","Bas plateaux-colines"
"70448","Bas plateaux-colines"
"70449","Bas plateaux-colines"
"70453","Hauts plateaux"
"70460","Hauts plateaux"
"70471","Bas plateaux-colines"
"70483","Bas plateaux-colines"
"70484","Bas plateaux-colines"
"70485","Bas plateaux-colines"
"70488","Bas plateaux-colines"
"70505","Bas plateaux-colines"
"70535","Bas plateaux-colines"
"70537","Bas plateaux-colines"
"70542","Bas plateaux-colines"
"70545","Bas plateaux-colines"
"70547","Bas plateaux-colines"
"70553","Bas plateaux-colines"
"70560","Bas plateaux-colines"
"70575","Bas plateaux-colines"
"70578","Bas plateaux-colines"
"71006","Bas plateaux-colines"
"71019","Bas plateaux-colines"
"71023","Plaine"
"71044","Bas plateaux-colines"
"71061","Plaine"
"71065","Bas plateaux-colines"
"71068","Bas plateaux-colines"
"71075","Bas plateaux-colines"
"71081","Plaine"
"71084","Bas plateaux-colines"
"71107","Bas plateaux-colines"
"71108","Bas plateaux-colines"
"71109","Bas plateaux-colines"
"71119","Bas plateaux-colines"
"71127","Bas plateaux-colines"
"71131","Plaine"
"71132","Bas plateaux-colines"
"71136","Bas plateaux-colines"
"71141","Bas plateaux-colines"
"71149","Bas plateaux-colines"
"71153","Bas plateaux-colines"
"71154","Plaine"
"71155","Bas plateaux-colines"
"71156","Bas plateaux-colines"
"71159","Bas plateaux-colines"
"71160","Bas plateaux-colines"
"71165","Hauts plateaux"
"71166","Bas plateaux-colines"
"71179","Bas plateaux-colines"
"71185","Bas plateaux-colines"
"71196","Bas plateaux-colines"
"71200","Bas plateaux-colines"
"71205","Plaine"
"71213","Plaine"
"71230","Bas plateaux-colines"
"71235","Bas plateaux-colines"
"71236","Bas plateaux-colines"
"71241","Bas plateaux-colines"
"71243","Bas plateaux-colines"
"71256","Bas plateaux-colines"
"71257","Bas plateaux-colines"
"71268","Bas plateaux-colines"
"71280","Bas plateaux-colines"
"71281","Bas plateaux-colines"
"71293","Plaine"
"71303","Plaine"
"71307","Bas plateaux-colines"
"71314","Plaine"
"71315","Plaine"
"71317","Bas plateaux-colines"
"71320","Bas plateaux-colines"
"71329","Plaine"
"71332","Plaine"
"71333","Plaine"
"71334","Bas plateaux-colines"
"71337","Bas plateaux-colines"
"71352","Plaine"
"71358","Bas plateaux-colines"
"71361","Bas plateaux-colines"
"71363","Bas plateaux-colines"
"71364","Plaine"
"71366","Plaine"
"71368","Bas plateaux-colines"
"71377","Bas plateaux-colines"
"71378","Bas plateaux-colines"
"71388","Bas plateaux-colines"
"71390","Bas plateaux-colines"
"71401","Plaine"
"71408","Bas plateaux-colines"
"71424","Bas plateaux-colines"
"71427","Bas plateaux-colines"
"71431","Bas plateaux-colines"
"71448","Bas plateaux-colines"
"71456","Plaine"
